fips,total_pop,age_00_to_04,age_05_to_09,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_and_over,male_pop,female_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,urban_rural_code
35039,39307,2628,2549,2515,2642,2326,2295,2256,2262,2118,2329,2612,2719,2973,2648,1525,1039,1066,805,19250,20057,4910,164,185,28046,5594,181,222,11261,,,,,,,,,,,,,,,,,,,5.0
72133,22066,1097,1254,1758,1717,1629,1386,1292,1481,1880,1539,1342,1117,1206,1311,729,603,355,370,10650,11416,89,0,0,21977,0,0,0,89,17640.0,10895.0,2112.0,1133.0,851.0,579.0,402.0,339.0,330.0,296.0,224.0,454.0,344.0,168.0,114.0,73.0,37.0,9.0,
72043,39265,1799,2244,2735,2562,2373,2435,2446,2627,2806,2702,2702,2741,2607,2402,1640,1108,900,436,19056,20209,216,8,0,39040,0,1,0,225,19833.0,10761.0,4041.0,1609.0,1058.0,979.0,1231.0,693.0,780.0,493.0,444.0,618.0,443.0,617.0,171.0,47.0,50.0,72.0,
72151,34149,1466,2098,1965,2333,2371,2122,1804,2072,2111,2217,2428,2263,2559,2048,1761,977,722,832,16541,17608,15,0,12,34122,0,0,0,27,16013.0,9148.0,3952.0,1619.0,1291.0,868.0,1165.0,563.0,383.0,395.0,267.0,371.0,391.0,261.0,164.0,12.0,11.0,9.0,
72071,42420,1771,2283,2599,2833,2856,2686,2450,2619,3062,2954,2951,2685,2750,2214,2384,1297,1008,1018,20629,21791,394,98,0,41825,0,103,0,595,16748.0,9228.0,4715.0,2149.0,1727.0,1175.0,1066.0,793.0,762.0,471.0,534.0,706.0,312.0,358.0,104.0,65.0,21.0,54.0,
72123,28633,1429,1827,1849,2222,2008,1786,1659,1566,2077,1799,1777,1770,1717,1575,1437,1128,597,410,13843,14790,14,0,116,28500,3,0,0,133,16887.0,9034.0,3128.0,1585.0,1248.0,922.0,824.0,474.0,377.0,386.0,343.0,372.0,356.0,214.0,119.0,0.0,26.0,0.0,
72037,11853,536,530,805,703,951,778,637,654,768,782,776,517,812,804,682,533,264,321,5660,6193,121,13,0,11690,0,0,29,163,19103.0,13044.0,1123.0,538.0,600.0,363.0,343.0,321.0,257.0,214.0,60.0,204.0,89.0,83.0,134.0,8.0,0.0,30.0,
72115,24036,1120,1006,1856,1605,1648,1573,1408,1710,1345,1560,1676,1646,1388,1338,1325,915,478,439,11606,12430,167,89,0,23760,0,20,0,276,16630.0,9819.0,2604.0,1286.0,890.0,801.0,378.0,371.0,378.0,350.0,225.0,384.0,343.0,147.0,107.0,0.0,10.0,12.0,
72141,29402,1361,1564,1906,1962,1974,1871,1605,1533,1746,1844,2022,2075,2069,1785,1619,1068,662,736,14279,15123,162,25,0,29215,0,0,0,187,16533.0,8639.0,3323.0,1248.0,1050.0,884.0,710.0,706.0,493.0,243.0,268.0,342.0,263.0,203.0,63.0,8.0,23.0,24.0,
72117,14269,585,696,805,833,819,716,721,1084,775,985,1013,975,955,993,893,825,268,328,6844,7425,1303,23,5,12676,0,0,262,1593,21591.0,11650.0,1493.0,366.0,579.0,304.0,544.0,324.0,351.0,114.0,215.0,407.0,185.0,125.0,27.0,61.0,10.0,23.0,
72093,6202,289,277,417,416,443,313,338,271,568,415,421,405,497,387,300,147,70,228,3069,3133,10,0,0,6192,0,0,0,10,13262.0,5974.0,801.0,253.0,209.0,185.0,196.0,43.0,96.0,37.0,54.0,49.0,7.0,0.0,0.0,0.0,0.0,0.0,
72077,39128,1944,2315,2789,2790,2847,2708,2573,2682,3162,2661,2426,2312,2070,1998,1453,1162,632,604,18630,20498,257,0,0,38852,0,19,0,276,18969.0,9316.0,3615.0,1663.0,1350.0,1302.0,744.0,691.0,714.0,622.0,249.0,478.0,860.0,315.0,78.0,13.0,14.0,10.0,
72049,1314,56,87,83,55,58,145,118,41,52,57,106,59,110,62,66,74,42,43,676,638,97,0,0,1211,6,0,0,103,23802.0,11830.0,92.0,87.0,31.0,39.0,18.0,67.0,36.0,23.0,14.0,26.0,19.0,23.0,0.0,0.0,0.0,0.0,
72095,11023,526,565,714,683,711,670,569,419,872,708,784,796,735,704,626,500,264,177,5411,5612,127,0,0,10896,0,0,0,127,19788.0,9471.0,1050.0,448.0,454.0,505.0,329.0,150.0,250.0,142.0,110.0,153.0,231.0,25.0,13.0,0.0,0.0,22.0,
