date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-08-01,0,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-02,0,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-03,0,Amherst College,164465,127,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,68.46361185983828,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-04,0,Amherst College,164465,118,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,63.61185983827493,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-05,0,Amherst College,164465,115,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,61.99460916442048,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-06,0,Amherst College,164465,85,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,45.82210242587601,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-07,0,Amherst College,164465,42,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,22.641509433962263,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-08,1,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-09,1,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-10,1,Amherst College,164465,169,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,91.10512129380054,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-11,1,Amherst College,164465,144,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,77.62803234501348,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-12,1,Amherst College,164465,152,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,81.94070080862534,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-13,1,Amherst College,164465,117,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,63.07277628032345,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-14,1,Amherst College,164465,90,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,48.517520215633425,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-15,2,Amherst College,164465,103,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,55.525606469002696,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-16,2,Amherst College,164465,155,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,83.55795148247978,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
