ipeds_id,cumulative_tests,cumulative_cases,week,enrollment,city,fips,status,status_merge,cumulative_cases_per_enrollment,cumulative_tests_per_enrollment,cumulative_cases_per_enrollment_per_week,cumulative_tests_per_enrollment_per_week
164465,125021.0,80.0,41,1855,Amherst,25015,"Primarily online, some courses in person",Primarily Online,0.0431266846361186,67.39676549865229,0.0010518703569785024,1.6438235487476167
164492,37463.0,104.0,41,1012,Paxton,25027,"Primarily in person, some courses online",Primarily In Person,0.10276679841897234,37.01877470355731,0.0025065072785115205,0.9028969439892027
164562,75783.0,133.0,41,2110,Worcester,25027,"Primarily online, with delayed transition to in-person instruction",Primarily Online,0.06303317535545024,35.91611374407583,0.00153739452086464,0.8760027742457519
164580,100720.0,428.0,41,2905,Wellesley,25021,"Primarily online, some courses in person",Primarily Online,0.14733218588640276,34.67125645438898,0.003593467948448848,0.8456404013265605
164632,14956.0,84.0,41,1955,Longmeadow,25013,"Primarily online, some courses in person",Primarily Online,0.04296675191815857,7.650127877237852,0.0010479695589794772,0.1865884848106793
164720,20472.0,42.0,41,2189,Worcester,25027,"Fully online, no students on campus",Primarily Online,0.019186843307446324,9.352215623572407,0.0004679717879864957,0.2281028200871319
164739,114495.0,460.0,41,5460,Waltham,25017,"Primarily online, some courses in person",Primarily Online,0.08424908424908426,20.96978021978022,0.0020548557133922988,0.511458054140981
164748,69184.0,146.0,41,6439,Boston,25025,"Fully online, at least some students allowed on campus",Primarily Online,0.022674328311849665,10.744525547445255,0.0005530323978499918,0.26206159871817697
164924,349814.0,1288.0,41,14720,Newton,25017,"Primarily in person, some courses online",Primarily In Person,0.0875,23.76453804347826,0.0021341463414634144,0.5796228791092258
164988,1046008.0,2070.0,41,34657,Boston,25025,Simultaneous teaching,Hybrid,0.05972819343855498,30.1817237498918,0.0014567852058184141,0.7361396036558975
165015,190630.0,186.0,41,5800,Waltham,25017,"Primarily online, some courses in person",Primarily Online,0.03206896551724138,32.86724137931034,0.0007821698906644239,0.8016400336417157
165024,38849.0,367.0,41,10990,Bridgewater,25023,"Primarily online, some courses in person",Primarily Online,0.033393994540491356,3.534940855323021,0.0008144876717193014,0.0862180696420249
165264,0.0,20.0,41,1188,Milton,25021,"Primarily online, some courses in person",Primarily Online,0.016835016835016835,0.0,0.0004106101667077277,0.0
165334,164580.0,153.0,41,3122,Worcester,25027,"Some of a variety of methods, non-specific plan",Hybrid,0.0490070467648943,52.71620755925689,0.0011952938235340073,1.2857611599818752
165529,53088.0,222.0,41,2580,Milton,25021,"Primarily in person, some courses online",Primarily In Person,0.08604651162790698,20.57674418604651,0.002098695405558707,0.5018718094157686
165574,27094.0,69.0,41,1363,Franklin,25021,"Fully online, no students on campus",Primarily Online,0.05062362435803375,19.878209831254587,0.0012347225453178963,0.48483438612816065
165635,0.0,17.0,41,296,Concord,25017,,,0.057432432432432436,0.0,0.0014007910349373765,0.0
165644,8406.0,92.0,41,848,Quincy,25021,Simultaneous teaching,Hybrid,0.10849056603773585,9.912735849056604,0.002646111366774045,0.24177404509894157
165662,131879.0,230.0,41,4573,Boston,25025,Hybrid or Hyflex teaching,Hybrid,0.050295211021211456,28.83861797507107,0.0012267124639319868,0.7033809262212456
165671,38259.0,84.0,41,2222,Boston,25025,"Primarily in person, some courses online",Primarily In Person,0.037803780378037805,17.21827182718272,0.0009220434238545806,0.4199578494434809
165699,76018.0,244.0,41,4794,Beverly,25009,"Primarily in person, some courses online",Primarily In Person,0.05089695452649145,15.856904463913224,0.0012413891347924744,0.38675376741251766
165820,27376.0,135.0,41,7199,Fitchburg,25027,"Primarily in person, some courses online",Primarily In Person,0.018752604528406724,3.8027503819974995,0.00045738059825382253,0.09275000931701219
165866,26157.0,107.0,41,5565,Framingham,25017,"Primarily online, some courses in person",Primarily Online,0.01922731356693621,4.700269541778976,0.000468958867486249,0.11464072053119453
165936,15823.0,27.0,41,1857,Wenham,25009,Simultaneous teaching,Hybrid,0.014539579967689823,8.520732364028001,0.00035462390165097126,0.2078227405860488
166018,13864.0,14.0,41,1191,Amherst,25015,Hybrid or Hyflex teaching,Hybrid,0.011754827875734676,11.64063811922754,0.00028670311892035796,0.2839180029079888
166027,606859.0,969.0,41,31566,Cambridge,25017,"Fully online, at least some students allowed on campus",Primarily Online,0.03069758601026421,19.225083951086614,0.0007487216100064442,0.4689044866118686
166124,118652.0,308.0,41,2939,Worcester,25027,"Fully online, at least some students allowed on campus",Primarily Online,0.10479755018713849,40.371554950663494,0.002556037809442402,0.9846720719674023
166391,56769.0,120.0,41,2060,Newton,25017,"Some of a variety of methods, non-specific plan",Hybrid,0.05825242718446602,27.557766990291263,0.0014207909069381957,0.6721406582997869
166513,59949.0,244.0,41,18242,Lowell,25017,"Primarily online, some courses in person",Primarily Online,0.013375726345795418,3.2863172897708584,0.0003262372279462297,0.08015408023831362
166629,511931.0,2566.0,41,30593,Amherst,25015,"Primarily online, some courses in person",Primarily Online,0.08387539633249436,16.733599189357044,0.002045741373963277,0.40813656559407424
166638,19244.0,148.0,41,16164,Boston,25025,"Fully online, at least some students allowed on campus",Primarily Online,0.009156149467953477,1.190546894333086,0.0002233207187305726,0.029037729130075265
166656,120871.0,480.0,41,7064,Boston,25025,Hybrid or Hyflex teaching,Hybrid,0.06795016987542468,17.110843714609288,0.0016573212164737727,0.4173376515758363
166674,26445.0,87.0,41,2087,Boston,25025,Hybrid or Hyflex teaching,Hybrid,0.04168663152850982,12.671298514614278,0.001016747110451459,0.3090560613320556
166683,649789.0,1052.0,41,11574,Cambridge,25017,"Primarily online, some courses in person",Primarily Online,0.090893381717643,56.14212890962502,0.0022169117492108047,1.3693202173079273
166692,8735.0,66.0,41,1802,Bourne,25001,"Primarily in person, some courses online",Primarily In Person,0.03662597114317425,4.84739178690344,0.0008933163693457134,0.11822906797325464
166708,83189.0,150.0,41,1185,Worcester,25027,,,0.12658227848101267,70.20168776371308,0.003087372645878358,1.7122362869198313
166850,171086.0,494.0,41,4643,North Andover,25009,Hybrid or Hyflex teaching,Hybrid,0.10639672625457679,36.84815851819944,0.0025950421037701657,0.8987355736146205
